IMG_NM,PHY_ID,found_filename,filename,label_idx
PR234C6DHK42_P050,DHK49412,PR234C6DHK42_P050.jpg,PR234C6DHK42_P050.jpg,45
PR234C6DHK42_P051,DHA01511,PR234C6DHK42_P051.jpg,PR234C6DHK42_P051.jpg,1
PR234C6DHK42_P053,DHK98792,PR234C6DHK42_P053.jpg,PR234C6DHK42_P053.jpg,65
PR234C6DHK42_P054,DHK00214,PR234C6DHK42_P054.jpg,PR234C6DHK42_P054.jpg,37
PR234C6DHK42_P056,DHK83791,PR234C6DHK42_P056.jpg,PR234C6DHK42_P056.jpg,55
PR234C6DHK42_P057,DHA15298,PR234C6DHK42_P057.jpg,PR234C6DHK42_P057.jpg,9
PR234C6DHK42_P058,DHK59333,PR234C6DHK42_P058.jpg,PR234C6DHK42_P058.jpg,47
PR234C6DHK42_P059,DHK02986,PR234C6DHK42_P059.jpg,PR234C6DHK42_P059.jpg,41
PR234C6DHK42_P062,DHA01511,PR234C6DHK42_P062.jpg,PR234C6DHK42_P062.jpg,1
PR234C6DHK42_P063,DHK01278,PR234C6DHK42_P063.jpg,PR234C6DHK42_P063.jpg,40
PR234C6DHK42_P064,DHA40013,PR234C6DHK42_P064.jpg,PR234C6DHK42_P064.jpg,27
